STATION,STATION_NAME,DATE,PRCP,SNWD,TAVG,TMAX,TMIN
GHCND:AR000877500,BAHIA BLANCA AERO AR,19560202,-9999,-9999,-9999,32.6,9.6
GHCND:AR000877500,BAHIA BLANCA AERO AR,19560203,-9999,-9999,-9999,39.5,18.4
GHCND:AR000877500,BAHIA BLANCA AERO AR,19560204,-9999,-9999,-9999,33.4,18.2
GHCND:AR000877500,BAHIA BLANCA AERO AR,19560205,-9999,-9999,-9999,22.5,11.0
GHCND:AR000877500,BAHIA BLANCA AERO AR,19560206,-9999,-9999,-9999,28.0,6.6
GHCND:AR000877500,BAHIA BLANCA AERO AR,19560207,-9999,-9999,-9999,32.5,15.9
GHCND:AR000877500,BAHIA BLANCA AERO AR,19560208,-9999,-9999,-9999,33.5,17.5
GHCND:AR000877500,BAHIA BLANCA AERO AR,19560209,-9999,-9999,-9999,35.6,19.0
GHCND:AR000877500,BAHIA BLANCA AERO AR,19560210,-9999,-9999,-9999,36.1,18.2
GHCND:AR000877500,BAHIA BLANCA AERO AR,19560211,-9999,-9999,-9999,34.0,19.0
GHCND:AR000877500,BAHIA BLANCA AERO AR,19560212,-9999,-9999,-9999,33.0,18.2
GHCND:AR000877500,BAHIA BLANCA AERO AR,19560213,-9999,-9999,-9999,23.2,15.4
GHCND:AR000877500,BAHIA BLANCA AERO AR,19560214,-9999,-9999,-9999,23.8,8.5
GHCND:AR000877500,BAHIA BLANCA AERO AR,19560215,-9999,-9999,-9999,27.1,5.2
GHCND:AR000877500,BAHIA BLANCA AERO AR,19560216,-9999,-9999,-9999,28.5,7.7
GHCND:AR000877500,BAHIA BLANCA AERO AR,19560217,-9999,-9999,-9999,31.6,17.4
GHCND:AR000877500,BAHIA BLANCA AERO AR,19560218,-9999,-9999,-9999,30.8,11.6
GHCND:AR000877500,BAHIA BLANCA AERO AR,19560219,-9999,-9999,-9999,37.5,16.8
GHCND:AR000877500,BAHIA BLANCA AERO AR,19560220,-9999,-9999,-9999,31.0,18.4
GHCND:AR000877500,BAHIA BLANCA AERO AR,19560222,-9999,-9999,-9999,26.2,6.2
GHCND:AR000877500,BAHIA BLANCA AERO AR,19560223,-9999,-9999,-9999,29.4,14.4
GHCND:AR000877500,BAHIA BLANCA AERO AR,19560224,-9999,-9999,-9999,31.6,19.0
GHCND:AR000877500,BAHIA BLANCA AERO AR,19560225,-9999,-9999,-9999,32.5,14.2
GHCND:AR000877500,BAHIA BLANCA AERO AR,19560226,-9999,-9999,-9999,34.0,16.3
GHCND:AR000877500,BAHIA BLANCA AERO AR,19560227,-9999,-9999,-9999,25.5,18.4
GHCND:AR000877500,BAHIA BLANCA AERO AR,19560228,-9999,-9999,-9999,25.0,13.0
GHCND:AR000877500,BAHIA BLANCA AERO AR,19560229,-9999,-9999,-9999,29.5,10.4
GHCND:AR000877500,BAHIA BLANCA AERO AR,19560301,-9999,-9999,-9999,30.5,14.2
GHCND:AR000877500,BAHIA BLANCA AERO AR,19560302,-9999,-9999,-9999,29.3,9.9
GHCND:AR000877500,BAHIA BLANCA AERO AR,19560303,-9999,-9999,-9999,31.0,17.1
GHCND:AR000877500,BAHIA BLANCA AERO AR,19560304,-9999,-9999,-9999,33.0,18.3
GHCND:AR000877500,BAHIA BLANCA AERO AR,19560305,-9999,-9999,-9999,34.6,17.7
GHCND:AR000877500,BAHIA BLANCA AERO AR,19560306,-9999,-9999,-9999,27.4,17.4
GHCND:AR000877500,BAHIA BLANCA AERO AR,19560307,-9999,-9999,-9999,30.0,14.6
GHCND:AR000877500,BAHIA BLANCA AERO AR,19560308,-9999,-9999,-9999,32.6,15.2
GHCND:AR000877500,BAHIA BLANCA AERO AR,19560309,-9999,-9999,-9999,30.0,18.7
GHCND:AR000877500,BAHIA BLANCA AERO AR,19560310,-9999,-9999,-9999,22.6,17.7
GHCND:AR000877500,BAHIA BLANCA AERO AR,19560311,-9999,-9999,-9999,26.5,18.2
GHCND:AR000877500,BAHIA BLANCA AERO AR,19560312,-9999,-9999,-9999,20.6,17.9
GHCND:AR000877500,BAHIA BLANCA AERO AR,19560313,-9999,-9999,-9999,21.6,13.2
GHCND:AR000877500,BAHIA BLANCA AERO AR,19560314,-9999,-9999,-9999,24.3,14.3
GHCND:AR000877500,BAHIA BLANCA AERO AR,19560315,-9999,-9999,-9999,24.7,15.3
GHCND:AR000877500,BAHIA BLANCA AERO AR,19560316,-9999,-9999,-9999,21.8,8.5
GHCND:AR000877500,BAHIA BLANCA AERO AR,19560317,-9999,-9999,-9999,22.8,10.5
GHCND:AR000877500,BAHIA BLANCA AERO AR,19560318,-9999,-9999,-9999,28.5,11.3
GHCND:AR000877500,BAHIA BLANCA AERO AR,19560319,-9999,-9999,-9999,29.3,17.9
GHCND:AR000877500,BAHIA BLANCA AERO AR,19560320,-9999,-9999,-9999,28.0,17.9
GHCND:AR000877500,BAHIA BLANCA AERO AR,19560321,-9999,-9999,-9999,26.5,18.4
GHCND:AR000877500,BAHIA BLANCA AERO AR,19560322,-9999,-9999,-9999,20.1,12.4
GHCND:AR000877500,BAHIA BLANCA AERO AR,19560323,-9999,-9999,-9999,16.9,6.9
GHCND:AR000877500,BAHIA BLANCA AERO AR,19560324,-9999,-9999,-9999,20.0,3.4
GHCND:AR000877500,BAHIA BLANCA AERO AR,19560325,-9999,-9999,-9999,22.6,13.9
GHCND:AR000877500,BAHIA BLANCA AERO AR,19560326,-9999,-9999,-9999,20.6,11.1
GHCND:AR000877500,BAHIA BLANCA AERO AR,19560327,-9999,-9999,-9999,24.2,6.3
GHCND:AR000877500,BAHIA BLANCA AERO AR,19560328,-9999,-9999,-9999,23.7,8.6
GHCND:AR000877500,BAHIA BLANCA AERO AR,19560329,-9999,-9999,-9999,25.1,11.3
GHCND:AR000877500,BAHIA BLANCA AERO AR,19560330,-9999,-9999,-9999,19.5,13.7
GHCND:AR000877500,BAHIA BLANCA AERO AR,19560331,-9999,-9999,-9999,17.5,10.7
GHCND:AR000877500,BAHIA BLANCA AERO AR,19560401,-9999,-9999,-9999,17.5,6.3
GHCND:AR000877500,BAHIA BLANCA AERO AR,19560402,-9999,-9999,-9999,22.4,6.0
GHCND:AR000877500,BAHIA BLANCA AERO AR,19560403,-9999,-9999,-9999,19.5,11.1
